District,District_Short_Code,Div_Sec_Area,Div_Sec_Area_Short_Code
Ampara,AMP,Addalaichenai,ADD
Ampara,AMP,Akkaraipattu,AKK
Ampara,AMP,Alayadivembu,ALA
Ampara,AMP,Damana,DAM
Ampara,AMP,Dehiattakandiya,DEH
Ampara,AMP,Irakkamam,IRA
Ampara,AMP,Lahugala,LAH
Ampara,AMP,Mahaoya,MAH
Ampara,AMP,Padiyathalawa,PAD
Ampara,AMP,Samanthurai,SAM
Anuradhapura,AND,Anuradhapura,ANU
Anuradhapura,AND,Galenbindunuwewa,GAL
Anuradhapura,AND,Galnewa,GAL
Anuradhapura,AND,Horowpathana,HOR
Anuradhapura,AND,Ipalogama,IPA
Anuradhapura,AND,Kahatagasdigiliya,KAH
Anuradhapura,AND,Kebithigollewa,KEB
Anuradhapura,AND,Kekirawa,KEK
Anuradhapura,AND,Mahavilachchiya,MAH
Anuradhapura,AND,Medawachchiya,MED
Anuradhapura,AND,Mihintale,MIH
Anuradhapura,AND,Nachchadoowa,NAC
Anuradhapura,AND,Nochchiyagama,NOC
Anuradhapura,AND,Nuwaragam Palatha Central,NUW
Anuradhapura,AND,Padaviya,PAD
Anuradhapura,AND,Palagala,PAL
Anuradhapura,AND,Rajanganaya,RAJ
Anuradhapura,AND,Rambewa,RAM
Anuradhapura,AND,Thalawa,THA
Anuradhapura,AND,Thambuttegama,THA
Badulla,BAD,Badulla,BAD
Badulla,BAD,Bandarawela,BAN
Badulla,BAD,Diyatalawa,DIY
Badulla,BAD,Ella,ELL
Badulla,BAD,Haldummulla,HAL
Badulla,BAD,Hali Ela,HAL
Badulla,BAD,Haputale,HAP
Badulla,BAD,Lunugala,LUN
Badulla,BAD,Mahiyanganaya,MAH
Badulla,BAD,Passara,PAS
Badulla,BAD,Soranathota,SOR
Badulla,BAD,Uva Paranagama,UVA
Badulla,BAD,Welimada,WEL
Batticaloa,BAT,Batticaloa,BAT
Batticaloa,BAT,Eravur Pattu,ERA
